H,Juan_C0-Hys-a000-RT.VHD,H,Juan_C0-Hys-a090-RT.VHD,H,Juan_C0-Hys-a180-RT.VHD
-997.000000E+0,-826.718600E-6,-997.000000E+0,-858.178700E-6,-997.000000E+0,-725.826800E-6
-950.000000E+0,-826.233700E-6,-949.000000E+0,-858.323600E-6,-949.000000E+0,-728.204400E-6
-898.000000E+0,-824.648800E-6,-900.000000E+0,-858.901500E-6,-900.000000E+0,-727.484800E-6
-848.000000E+0,-827.264200E-6,-850.000000E+0,-860.721600E-6,-850.000000E+0,-727.220300E-6
-798.000000E+0,-828.778000E-6,-800.000000E+0,-859.890100E-6,-800.000000E+0,-728.918900E-6
-748.000000E+0,-829.776000E-6,-750.000000E+0,-861.214300E-6,-750.000000E+0,-731.152400E-6
-698.000000E+0,-830.059100E-6,-698.000000E+0,-861.066200E-6,-700.000000E+0,-728.964000E-6
-648.000000E+0,-829.738300E-6,-648.000000E+0,-862.293600E-6,-650.000000E+0,-729.761800E-6
-598.000000E+0,-831.627400E-6,-600.000000E+0,-861.291000E-6,-600.000000E+0,-732.177300E-6
-548.000000E+0,-832.142500E-6,-550.000000E+0,-862.075900E-6,-548.000000E+0,-732.096900E-6
-498.000000E+0,-832.286500E-6,-498.000000E+0,-861.980500E-6,-500.000000E+0,-731.700400E-6
-478.000000E+0,-833.026200E-6,-477.000000E+0,-862.732900E-6,-478.000000E+0,-732.038600E-6
-458.000000E+0,-833.814500E-6,-458.000000E+0,-861.745700E-6,-458.000000E+0,-732.133500E-6
-438.000000E+0,-833.991100E-6,-438.000000E+0,-861.829800E-6,-438.000000E+0,-730.778100E-6
-418.000000E+0,-833.589000E-6,-418.000000E+0,-862.538800E-6,-418.000000E+0,-733.341600E-6
-398.000000E+0,-831.762500E-6,-398.000000E+0,-863.496600E-6,-398.000000E+0,-732.663000E-6
-378.000000E+0,-832.078900E-6,-378.000000E+0,-862.533100E-6,-378.000000E+0,-731.302000E-6
-359.000000E+0,-832.806600E-6,-358.000000E+0,-862.820300E-6,-358.000000E+0,-732.449900E-6
-339.000000E+0,-833.642300E-6,-338.000000E+0,-862.547900E-6,-338.000000E+0,-732.222400E-6
-318.000000E+0,-833.041600E-6,-318.000000E+0,-862.270700E-6,-317.000000E+0,-732.636300E-6
-298.000000E+0,-833.538900E-6,-298.000000E+0,-862.246800E-6,-298.000000E+0,-731.493000E-6
-278.000000E+0,-832.067500E-6,-278.000000E+0,-862.792200E-6,-278.000000E+0,-732.764300E-6
-258.000000E+0,-832.701300E-6,-258.000000E+0,-862.085100E-6,-258.000000E+0,-733.524200E-6
-238.000000E+0,-834.457600E-6,-237.000000E+0,-861.887300E-6,-238.000000E+0,-732.376200E-6
-218.000000E+0,-832.115800E-6,-217.000000E+0,-861.327600E-6,-218.000000E+0,-733.248200E-6
-198.000000E+0,-831.170400E-6,-197.000000E+0,-861.010000E-6,-198.000000E+0,-733.829400E-6
-188.000000E+0,-830.885100E-6,-187.000000E+0,-860.756000E-6,-187.000000E+0,-732.476400E-6
-178.000000E+0,-831.523400E-6,-177.000000E+0,-860.210200E-6,-178.000000E+0,-732.445900E-6
-168.000000E+0,-832.111000E-6,-168.000000E+0,-859.549600E-6,-167.000000E+0,-732.848000E-6
-158.000000E+0,-830.560500E-6,-157.000000E+0,-859.308500E-6,-157.000000E+0,-732.386700E-6
-148.000000E+0,-831.734600E-6,-147.000000E+0,-858.513400E-6,-148.000000E+0,-732.160000E-6
-138.000000E+0,-831.118500E-6,-137.000000E+0,-859.027200E-6,-137.000000E+0,-731.400900E-6
-128.000000E+0,-830.315900E-6,-127.000000E+0,-856.672400E-6,-127.000000E+0,-730.462300E-6
-118.000000E+0,-829.933800E-6,-117.000000E+0,-857.179500E-6,-117.000000E+0,-730.564900E-6
-108.000000E+0,-826.386900E-6,-107.000000E+0,-854.786000E-6,-107.000000E+0,-729.993700E-6
-98.000000E+0,-828.652000E-6,-97.000000E+0,-855.976800E-6,-97.000000E+0,-726.737400E-6
-96.000000E+0,-826.497600E-6,-95.000000E+0,-855.786000E-6,-95.000000E+0,-729.821900E-6
-96.000000E+0,-826.629100E-6,-93.000000E+0,-853.842400E-6,-93.000000E+0,-727.763600E-6
-92.000000E+0,-828.363600E-6,-91.000000E+0,-854.107500E-6,-91.000000E+0,-728.520300E-6
