H	
-997.0000000000	-12.9174781250
-950.0000000000	-12.9099015625
-898.0000000000	-12.8851375000
-848.0000000000	-12.9260031250
-798.0000000000	-12.9496562500
-748.0000000000	-12.9652500000
-698.0000000000	-12.9696734375
-648.0000000000	-12.9646609375
-598.0000000000	-12.9941781250
-548.0000000000	-13.0022265625
-498.0000000000	-13.0044765625
-478.0000000000	-13.0160343750
-458.0000000000	-13.0283515625
-438.0000000000	-13.0311109375
-418.0000000000	-13.0248281250
-398.0000000000	-12.9962890625
-378.0000000000	-13.0012328125
-359.0000000000	-13.0126031250
-339.0000000000	-13.0256609375
-318.0000000000	-13.0162750000
-298.0000000000	-13.0240453125
-278.0000000000	-13.0010546875
-258.0000000000	-13.0109578125
-238.0000000000	-13.0384000000
-218.0000000000	-13.0018093750
-198.0000000000	-12.9870375000
-188.0000000000	-12.9825796875
-178.0000000000	-12.9925531250
-168.0000000000	-13.0017343750
-158.0000000000	-12.9775078125
-148.0000000000	-12.9958531250
-138.0000000000	-12.9862265625
-128.0000000000	-12.9736859375
-118.0000000000	-12.9677156250
-108.0000000000	-12.9122953125
-98.0000000000	-12.9476875000
-96.0000000000	-12.9140250000
-96.0000000000	-12.9160796875
-92.0000000000	-12.9431812500
-90.0000000000	-12.9131828125
-89.0000000000	-12.9146750000
-86.0000000000	-12.9319140625
-86.0000000000	-12.9201187500
-81.0000000000	-12.9231718750
-82.0000000000	-12.8871046875
-77.0000000000	-12.8956656250
-75.0000000000	-12.8958859375
-73.0000000000	-12.9020328125
-71.0000000000	-12.8965515625
-69.0000000000	-12.8700421875
-67.0000000000	-12.8992640625
-65.0000000000	-12.8814578125
-63.0000000000	-12.8723296875
-61.0000000000	-12.8947921875
-59.0000000000	-12.8705578125
-57.0000000000	-12.8743546875
-55.0000000000	-12.8317046875
-53.0000000000	-12.8648343750
-51.0000000000	-12.8301078125
-49.0000000000	-12.8248703125
-47.0000000000	-12.8309203125
-45.0000000000	-12.8189531250
-43.0000000000	-12.7979890625
-41.0000000000	-12.8096218750
-40.0000000000	-12.8050031250
-37.0000000000	-12.7800687500
-35.0000000000	-12.7549515625
-33.0000000000	-12.7423625000
-31.0000000000	-12.7339671875
-29.0000000000	-12.7626109375
-27.0000000000	-12.7346015625
-25.0000000000	-12.7315671875
-23.0000000000	-12.7167125000
-21.0000000000	-12.7034343750
-19.0000000000	-12.7112218750
-18.0000000000	-12.6959500000
-15.0000000000	-12.6782515625
-13.0000000000	-12.6371984375
-11.0000000000	-12.6456828125
-9.0000000000	-12.6157671875
-7.0000000000	-12.5820250000
-5.0000000000	-12.5638937500
-3.0000000000	-12.5477359375
-1.0000000000	-12.5385156250
0.0000000000	-12.5078546875
0.0000000000	-12.5262062500
2.0000000000	-12.4556750000
4.0000000000	-12.4443609375
6.0000000000	-12.4177703125
8.0000000000	-12.4004984375
10.0000000000	-12.3548156250
12.0000000000	-12.3094140625
14.0000000000	-12.2408046875
16.0000000000	-12.1944156250
18.0000000000	9.9610093750
20.0000000000	11.4083265625
22.0000000000	11.9416578125
24.0000000000	12.0507765625
26.0000000000	12.1541781250
28.0000000000	12.2263359375
30.0000000000	12.2606562500
32.0000000000	12.3177687500
34.0000000000	12.3395515625
36.0000000000	12.3972203125
38.0000000000	12.4345921875
40.0000000000	12.4491296875
42.0000000000	12.4975703125
44.0000000000	12.4813296875
46.0000000000	12.5258265625
48.0000000000	12.5294250000
50.0000000000	12.5372781250
52.0000000000	12.5743093750
54.0000000000	12.5751953125
56.0000000000	12.6157859375
58.0000000000	12.6115750000
60.0000000000	12.6095812500
62.0000000000	12.6037265625
64.0000000000	12.6319609375
66.0000000000	12.6366250000
68.0000000000	12.6572281250
70.0000000000	12.6467718750
72.0000000000	12.6575453125
74.0000000000	12.6743234375
76.0000000000	12.6503609375
78.0000000000	12.6774890625
80.0000000000	12.7035406250
82.0000000000	12.7121750000
84.0000000000	12.6961953125
86.0000000000	12.7104593750
88.0000000000	12.7049390625
90.0000000000	12.7410843750
92.0000000000	12.7383593750
94.0000000000	12.7435968750
96.0000000000	12.7512578125
98.0000000000	12.7646218750
100.0000000000	12.7509609375
109.0000000000	12.7804468750
120.0000000000	12.8237812500
130.0000000000	12.8278593750
139.0000000000	12.8487062500
149.0000000000	12.8766937500
159.0000000000	12.8979437500
169.0000000000	12.8985343750
179.0000000000	12.8985078125
189.0000000000	12.9407515625
199.0000000000	12.9489796875
219.0000000000	12.9659203125
239.0000000000	12.9623484375
259.0000000000	12.9648843750
279.0000000000	12.9697734375
299.0000000000	12.9911296875
319.0000000000	12.9993703125
339.0000000000	12.9886906250
359.0000000000	13.0091375000
379.0000000000	13.0143359375
399.0000000000	13.0173343750
419.0000000000	13.0168750000
439.0000000000	13.0156046875
459.0000000000	13.0149828125
479.0000000000	13.0210093750
499.0000000000	13.0002625000
548.0000000000	13.0410578125
599.0000000000	13.0242234375
648.0000000000	13.0274656250
698.0000000000	13.0151656250
749.0000000000	12.9917968750
799.0000000000	13.0082703125
849.0000000000	12.9877031250
899.0000000000	13.0015359375
949.0000000000	12.9963359375
999.0000000000	12.9778593750
949.0000000000	12.9873000000
899.0000000000	13.0116953125
849.0000000000	13.0160296875
799.0000000000	13.0109828125
749.0000000000	13.0305171875
699.0000000000	13.0205828125
649.0000000000	13.0555609375
599.0000000000	13.0381000000
549.0000000000	13.0452359375
499.0000000000	13.0600968750
480.0000000000	13.0523375000
459.0000000000	13.0629890625
440.0000000000	13.0386343750
420.0000000000	13.0646203125
400.0000000000	13.0596687500
380.0000000000	13.0507171875
360.0000000000	13.0407031250
340.0000000000	13.0373031250
320.0000000000	13.0637078125
299.0000000000	13.0747343750
280.0000000000	13.0502640625
260.0000000000	13.0306765625
239.0000000000	13.0332421875
219.0000000000	13.0404687500
200.0000000000	13.0235000000
190.0000000000	13.0144515625
180.0000000000	13.0475406250
169.0000000000	13.0181265625
160.0000000000	13.0087234375
150.0000000000	13.0220578125
140.0000000000	13.0101390625
130.0000000000	13.0051437500
120.0000000000	13.0018359375
110.0000000000	12.9902078125
100.0000000000	12.9734703125
98.0000000000	12.9750531250
96.0000000000	12.9555671875
94.0000000000	12.9726281250
92.0000000000	12.9621421875
90.0000000000	12.9413328125
88.0000000000	12.9324953125
86.0000000000	12.9320156250
84.0000000000	12.9191046875
82.0000000000	12.9253750000
80.0000000000	12.9336031250
78.0000000000	12.9153875000
76.0000000000	12.9292062500
74.0000000000	12.9410500000
72.0000000000	12.9072859375
70.0000000000	12.9148187500
68.0000000000	12.8924218750
66.0000000000	12.8940796875
64.0000000000	12.9047296875
62.0000000000	12.9060250000
60.0000000000	12.8971796875
58.0000000000	12.8850937500
56.0000000000	12.8937625000
54.0000000000	12.8833515625
52.0000000000	12.8692546875
50.0000000000	12.8834093750
48.0000000000	12.8538953125
46.0000000000	12.8580359375
44.0000000000	12.8478937500
42.0000000000	12.8516203125
40.0000000000	12.8403984375
38.0000000000	12.8289109375
36.0000000000	12.8471625000
34.0000000000	12.8114937500
32.0000000000	12.7842500000
30.0000000000	12.7961031250
28.0000000000	12.7973078125
26.0000000000	12.7757265625
24.0000000000	12.7779625000
22.0000000000	12.7414515625
20.0000000000	12.7432281250
18.0000000000	12.7284609375
17.0000000000	12.7156921875
14.0000000000	12.6899468750
12.0000000000	12.6654828125
10.0000000000	12.6814765625
8.0000000000	12.6634328125
6.0000000000	12.6423156250
4.0000000000	12.6349328125
3.0000000000	12.6073531250
0.0000000000	12.5674671875
0.0000000000	12.5432312500
-1.0000000000	12.5256312500
-3.0000000000	12.4896703125
-5.0000000000	12.4403453125
-7.0000000000	12.4015843750
-9.0000000000	12.3521218750
-11.0000000000	12.3049921875
-13.0000000000	-9.2206281250
-15.0000000000	-11.7577187500
-17.0000000000	-11.9133015625
-19.0000000000	-12.0413703125
-21.0000000000	-12.1218000000
-23.0000000000	-12.1929500000
-25.0000000000	-12.2115312500
-27.0000000000	-12.2897000000
-29.0000000000	-12.3170796875
-31.0000000000	-12.3697390625
-33.0000000000	-12.3843031250
-35.0000000000	-12.4310140625
-37.0000000000	-12.4484015625
-39.0000000000	-12.4733593750
-41.0000000000	-12.4885718750
-43.0000000000	-12.5192234375
-45.0000000000	-12.5142015625
-47.0000000000	-12.5497328125
-49.0000000000	-12.5612156250
-52.0000000000	-12.5561203125
-53.0000000000	-12.5612593750
-55.0000000000	-12.5903546875
-57.0000000000	-12.5950593750
-59.0000000000	-12.6166796875
-61.0000000000	-12.6113218750
-63.0000000000	-12.6290750000
-65.0000000000	-12.6556171875
-67.0000000000	-12.6485296875
-69.0000000000	-12.6534031250
-71.0000000000	-12.6656968750
-73.0000000000	-12.6711953125
-75.0000000000	-12.6965500000
-77.0000000000	-12.6659343750
-79.0000000000	-12.7042671875
-81.0000000000	-12.7085140625
-83.0000000000	-12.6932250000
-85.0000000000	-12.7101140625
-87.0000000000	-12.7262796875
-89.0000000000	-12.7337281250
-91.0000000000	-12.7285765625
-93.0000000000	-12.7317437500
-95.0000000000	-12.7399093750
-97.0000000000	-12.7239468750
-107.0000000000	-12.7613453125
-117.0000000000	-12.7820515625
-127.0000000000	-12.7894328125
-137.0000000000	-12.8375687500
-147.0000000000	-12.8346843750
-157.0000000000	-12.8581437500
-167.0000000000	-12.8622703125
-177.0000000000	-12.8829421875
-187.0000000000	-12.8820250000
-197.0000000000	-12.9040859375
-217.0000000000	-12.8963515625
-237.0000000000	-12.8991953125
-257.0000000000	-12.8944984375
-277.0000000000	-12.9237390625
-297.0000000000	-12.9191250000
-317.0000000000	-12.9217578125
-337.0000000000	-12.9330765625
-357.0000000000	-12.9230140625
-377.0000000000	-12.9590625000
-397.0000000000	-12.9425515625
-417.0000000000	-12.9294859375
-437.0000000000	-12.9516921875
-458.0000000000	-12.9387484375
-477.0000000000	-12.9496687500
-498.0000000000	-12.9594281250
-547.0000000000	-12.9344359375
-597.0000000000	-12.9221718750
-647.0000000000	-12.9409390625
-697.0000000000	-12.9314890625
-747.0000000000	-12.9250546875
-797.0000000000	-12.9150000000
-847.0000000000	-12.9108937500
-897.0000000000	-12.9168187500
-947.0000000000	-12.8954265625
-997.0000000000	-12.8962906250
